iter	Passed	Remaining
0	23	1156
1	47	1141
2	72	1136
3	95	1102
4	119	1076
5	154	1136
6	184	1134
7	230	1209
8	259	1182
9	298	1194
10	331	1174
11	370	1173
12	410	1168
13	435	1119
14	471	1100
15	503	1069
16	549	1067
17	583	1037
18	621	1013
19	651	977
20	679	937
21	703	895
22	731	858
23	755	818
24	781	781
25	805	743
26	830	707
27	856	673
28	879	636
29	905	603
30	935	573
31	964	542
32	988	509
33	1014	477
34	1038	444
35	1066	414
36	1095	384
37	1119	353
38	1144	322
39	1172	293
40	1196	262
41	1221	232
42	1248	203
43	1266	172
44	1295	143
45	1324	115
46	1350	86
47	1378	57
48	1402	28
49	1427	0
50	1464	1811
51	1491	1555
52	1520	1454
53	1554	1461
54	1604	1595
55	1637	1539
56	1669	1489
57	1699	1428
58	1735	1404
59	1776	1395
60	1810	1357
61	1845	1323
62	1875	1274
63	1906	1233
64	1938	1194
65	1982	1179
66	2029	1169
67	2080	1161
68	2117	1126
69	2158	1096
70	2195	1061
71	2233	1025
72	2266	985
73	2306	952
74	2338	911
75	2364	865
76	2391	821
77	2424	783
78	2455	744
79	2489	707
80	2514	666
81	2541	626
82	2565	586
83	2594	549
84	2619	511
85	2646	474
86	2668	436
87	2694	400
88	2720	364
89	2744	329
90	2770	294
91	2794	260
92	2819	226
93	2848	193
94	2875	160
95	2899	128
96	2921	95
97	2945	63
98	2973	31
99	2996	0
100	3029	1604
101	3062	1568
102	3094	1525
103	3119	1406
104	3148	1365
105	3183	1367
106	3217	1353
107	3250	1333
108	3279	1289
109	3315	1273
110	3341	1223
111	3383	1223
112	3417	1198
113	3450	1166
114	3480	1128
115	3518	1109
116	3546	1065
117	3581	1039
118	3612	1003
119	3657	990
120	3698	968
121	3732	936
122	3762	899
123	3788	857
124	3815	819
125	3842	780
126	3866	740
127	3892	703
128	3919	668
129	3944	631
130	3968	595
131	3995	561
132	4021	527
133	4049	495
134	4072	461
135	4097	427
136	4125	396
137	4150	364
138	4177	332
139	4203	301
140	4225	269
141	4248	238
142	4273	207
143	4296	177
144	4320	147
145	4347	117
146	4371	87
147	4396	58
148	4420	29
149	4446	0
150	4480	1634
151	4517	1691
152	4566	1878
153	4602	1793
154	4632	1666
155	4670	1638
156	4699	1552
157	4735	1514
158	4772	1480
159	4802	1422
160	4840	1394
161	4878	1366
162	4904	1303
163	4934	1253
164	4961	1201
165	4985	1143
166	5009	1092
167	5037	1049
168	5060	1001
169	5086	959
170	5112	919
171	5135	876
172	5159	836
173	5185	800
174	5211	764
175	5237	730
176	5260	693
177	5286	659
178	5316	629
179	5339	595
180	5363	561
181	5392	531
182	5418	500
183	5443	469
184	5470	438
185	5494	407
186	5518	376
187	5545	346
188	5569	316
189	5594	286
190	5618	257
191	5642	227
192	5670	199
193	5692	169
194	5717	141
195	5743	112
196	5767	84
197	5792	56
198	5820	28
199	5844	0
